LAST SEEN   TYPE      REASON                  OBJECT                                                   MESSAGE
36m         Warning   BackOff                 pod/fullstack-fullstack-ocp-backend-74f8b44c7d-8jw5z     Back-off restarting failed container backend in pod fullstack-fullstack-ocp-backend-74f8b44c7d-8jw5z_fullstack-dev(ef542456-1ef3-4c7a-8954-55dd5d86bc2b)
36m         Warning   BackOff                 pod/fullstack-fullstack-ocp-frontend-85bbc48744-xzkrz    Back-off restarting failed container frontend in pod fullstack-fullstack-ocp-frontend-85bbc48744-xzkrz_fullstack-dev(6a449aa3-a39e-4762-bbe8-bf2386c325f6)
34m         Normal    Pulled                  pod/fullstack-fullstack-ocp-backend-74f8b44c7d-8jw5z     Container image "python:3.9-slim" already present on machine
33m         Normal    Pulled                  pod/fullstack-fullstack-ocp-frontend-85bbc48744-xzkrz    Container image "nginx:1.21.0" already present on machine
32m         Normal    Killing                 pod/fullstack-postgresql-0                               Stopping container postgresql
31m         Normal    SuccessfulCreate        statefulset/fullstack-postgresql                         create Pod fullstack-postgresql-0 in StatefulSet fullstack-postgresql successful
31m         Normal    SuccessfulCreate        replicaset/fullstack-fullstack-ocp-backend-5647f6846b    Created pod: fullstack-fullstack-ocp-backend-5647f6846b-8ww8k
31m         Normal    SuccessfulCreate        replicaset/fullstack-fullstack-ocp-frontend-c4d894889    Created pod: fullstack-fullstack-ocp-frontend-c4d894889-bgwrv
31m         Normal    WaitForFirstConsumer    persistentvolumeclaim/data-fullstack-postgresql-0        waiting for first consumer to be created before binding
31m         Normal    ExternalProvisioning    persistentvolumeclaim/data-fullstack-postgresql-0        Waiting for a volume to be created either by the external provisioner 'kubevirt.io.hostpath-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
31m         Normal    Provisioning            persistentvolumeclaim/data-fullstack-postgresql-0        External provisioner is provisioning volume for claim "fullstack-dev/data-fullstack-postgresql-0"
31m         Normal    ProvisioningSucceeded   persistentvolumeclaim/data-fullstack-postgresql-0        Successfully provisioned volume pvc-40eae60d-bab2-415f-b84c-fcf40947abb7
31m         Normal    AddedInterface          pod/fullstack-fullstack-ocp-frontend-c4d894889-bgwrv     Add eth0 [10.217.0.87/23] from ovn-kubernetes
31m         Normal    SuccessfulCreate        statefulset/fullstack-postgresql                         create Claim data-fullstack-postgresql-0 Pod fullstack-postgresql-0 in StatefulSet fullstack-postgresql success
31m         Normal    ScalingReplicaSet       deployment/fullstack-fullstack-ocp-frontend              Scaled up replica set fullstack-fullstack-ocp-frontend-c4d894889 from 0 to 1
31m         Normal    AddedInterface          pod/fullstack-fullstack-ocp-backend-5647f6846b-8ww8k     Add eth0 [10.217.0.86/23] from ovn-kubernetes
31m         Normal    ScalingReplicaSet       deployment/fullstack-fullstack-ocp-backend               Scaled up replica set fullstack-fullstack-ocp-backend-5647f6846b from 0 to 1
31m         Normal    Pulled                  pod/fullstack-fullstack-ocp-backend-5647f6846b-8ww8k     Container image "python:3.9-slim" already present on machine
31m         Normal    Created                 pod/fullstack-fullstack-ocp-backend-5647f6846b-8ww8k     Created container: backend
31m         Normal    Started                 pod/fullstack-fullstack-ocp-backend-5647f6846b-8ww8k     Started container backend
31m         Normal    Pulled                  pod/fullstack-postgresql-0                               Container image "docker.io/bitnamilegacy/postgresql:16.1.0-debian-11-r25" already present on machine
31m         Normal    AddedInterface          pod/fullstack-postgresql-0                               Add eth0 [10.217.0.88/23] from ovn-kubernetes
31m         Normal    Created                 pod/fullstack-postgresql-0                               Created container: postgresql
31m         Normal    Started                 pod/fullstack-postgresql-0                               Started container postgresql
15m         Normal    Created                 pod/fullstack-fullstack-ocp-frontend-c4d894889-bgwrv     Created container: frontend
15m         Normal    Started                 pod/fullstack-fullstack-ocp-frontend-c4d894889-bgwrv     Started container frontend
2m          Normal    Pulled                  pod/fullstack-fullstack-ocp-frontend-c4d894889-bgwrv     Container image "nginx:1.21.0" already present on machine
4s          Warning   BackOff                 pod/fullstack-fullstack-ocp-frontend-c4d894889-bgwrv     Back-off restarting failed container frontend in pod fullstack-fullstack-ocp-frontend-c4d894889-bgwrv_fullstack-dev(5e526c47-c406-498e-a81a-f4a2211e7e88)
